[0.051s] Invoking command in '/workspace/ur5_ws/build/ur_dashboard_msgs': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /workspace/ur5_ws/build/ur_dashboard_msgs -- -j11 -l11
[0.188s] [  0%] Built target ament_cmake_python_symlink_ur_dashboard_msgs
[0.236s] [  0%] Built target ur_dashboard_msgs__cpp
[0.472s] [ 12%] Built target ur_dashboard_msgs__rosidl_generator_c
[0.563s] running egg_info
[0.565s] [ 30%] Built target ur_dashboard_msgs__rosidl_typesupport_cpp
[0.568s] writing ur_dashboard_msgs.egg-info/PKG-INFO
[0.570s] writing dependency_links to ur_dashboard_msgs.egg-info/dependency_links.txt
[0.985s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/is_program_saved__type_support.h
[0.988s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/load__functions.h
[0.989s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/load__struct.h
[0.991s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/load__type_support.h
[1.053s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/popup__functions.h
[1.054s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/popup__struct.h
[1.055s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/popup__type_support.h
[1.056s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/raw_request__functions.h
[1.056s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/raw_request__struct.h
[1.057s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/raw_request__type_support.h
[1.057s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/get_loaded_program.h
[1.058s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/get_program_state.h
[1.060s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/get_robot_mode.h
[1.061s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/get_safety_mode.h
[1.062s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/is_in_remote_control.h
[1.062s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/is_program_running.h
[1.063s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/is_program_saved.h
[1.063s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/load.h
[1.064s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/popup.h
[1.065s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/raw_request.h
[1.066s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/share/ur_dashboard_msgs/environment/library_path.sh
[1.066s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/share/ur_dashboard_msgs/environment/library_path.dsv
[1.067s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/action/detail/set_mode__rosidl_typesupport_fastrtps_c.h
[1.068s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/program_state__rosidl_typesupport_fastrtps_c.h
[1.068s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/robot_mode__rosidl_typesupport_fastrtps_c.h
[1.069s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/safety_mode__rosidl_typesupport_fastrtps_c.h
[1.070s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/rosidl_typesupport_fastrtps_c__visibility_control.h
[1.071s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/add_to_log__rosidl_typesupport_fastrtps_c.h
[1.072s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_loaded_program__rosidl_typesupport_fastrtps_c.h
[1.072s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_program_state__rosidl_typesupport_fastrtps_c.h
[1.073s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_robot_mode__rosidl_typesupport_fastrtps_c.h
[1.073s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_safety_mode__rosidl_typesupport_fastrtps_c.h
[1.074s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/is_in_remote_control__rosidl_typesupport_fastrtps_c.h
[1.074s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/is_program_running__rosidl_typesupport_fastrtps_c.h
[1.075s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/is_program_saved__rosidl_typesupport_fastrtps_c.h
[1.076s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/load__rosidl_typesupport_fastrtps_c.h
[1.077s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/popup__rosidl_typesupport_fastrtps_c.h
[1.077s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/raw_request__rosidl_typesupport_fastrtps_c.h
[1.078s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/action/detail/set_mode__rosidl_typesupport_introspection_c.h
[1.078s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/program_state__rosidl_typesupport_introspection_c.h
[1.078s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/robot_mode__rosidl_typesupport_introspection_c.h
[1.079s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/safety_mode__rosidl_typesupport_introspection_c.h
[1.079s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/rosidl_typesupport_introspection_c__visibility_control.h
[1.080s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/add_to_log__rosidl_typesupport_introspection_c.h
[1.080s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_loaded_program__rosidl_typesupport_introspection_c.h
[1.081s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_program_state__rosidl_typesupport_introspection_c.h
[1.081s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_robot_mode__rosidl_typesupport_introspection_c.h
[1.088s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_safety_mode__rosidl_typesupport_introspection_c.h
[1.088s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/is_in_remote_control__rosidl_typesupport_introspection_c.h
[1.089s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/is_program_running__rosidl_typesupport_introspection_c.h
[1.089s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/is_program_saved__rosidl_typesupport_introspection_c.h
[1.090s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/load__rosidl_typesupport_introspection_c.h
[1.091s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/popup__rosidl_typesupport_introspection_c.h
[1.091s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/raw_request__rosidl_typesupport_introspection_c.h
[1.092s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/action/detail/set_mode__builder.hpp
[1.092s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/action/detail/set_mode__struct.hpp
[1.093s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/action/detail/set_mode__traits.hpp
[1.094s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/action/detail/set_mode__type_support.hpp
[1.094s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/action/set_mode.hpp
[1.095s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/program_state__builder.hpp
[1.096s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/program_state__struct.hpp
[1.096s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/program_state__traits.hpp
[1.097s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/program_state__type_support.hpp
[1.097s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/robot_mode__builder.hpp
[1.099s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/robot_mode__struct.hpp
[1.100s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/robot_mode__traits.hpp
[1.101s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/robot_mode__type_support.hpp
[1.101s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/safety_mode__builder.hpp
[1.101s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/safety_mode__struct.hpp
[1.103s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/safety_mode__traits.hpp
[1.104s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/safety_mode__type_support.hpp
[1.104s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/program_state.hpp
[1.105s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/robot_mode.hpp
[1.105s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/rosidl_generator_cpp__visibility_control.hpp
[1.106s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/safety_mode.hpp
[1.106s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/add_to_log.hpp
[1.108s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/add_to_log__builder.hpp
[1.109s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/add_to_log__struct.hpp
[1.110s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/add_to_log__traits.hpp
[1.110s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/add_to_log__type_support.hpp
[1.111s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_loaded_program__builder.hpp
[1.111s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_loaded_program__struct.hpp
[1.112s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_loaded_program__traits.hpp
[1.113s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_loaded_program__type_support.hpp
[1.114s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_program_state__builder.hpp
[1.114s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_program_state__struct.hpp
[1.116s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_program_state__traits.hpp
[1.117s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_program_state__type_support.hpp
[1.118s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_robot_mode__builder.hpp
[1.119s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_robot_mode__struct.hpp
[1.120s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_robot_mode__traits.hpp
[1.120s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_robot_mode__type_support.hpp
[1.121s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_safety_mode__builder.hpp
[1.122s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_safety_mode__struct.hpp
[1.122s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_safety_mode__traits.hpp
[1.123s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_safety_mode__type_support.hpp
